BOROUGH,SCHOOL_NAME,NEIGHBORHOOD,INTEREST,METHOD,TOTAL_STUDENTS,GRADUATION_RATE,ATTENDANCE_RATE,COLLEGE_CAREER_RATE,SAFE,SEATS,APPLICANTS,LANGUAGE_CLASSES,ADVANCED_PLACEMENT_COURSES,SCHOOL_SPORTS
DKI Jakarta,SMA Labschool Bandung,Denpasar,Communications,Ed. Opt.,397,77,84,54,92,90.0,349.0,Bahasa Jerman,"Bahasa Inggris, Biologi, Fisika",Futsal
Yogyakarta,SMA Labschool Bandung,Sleman,Humanities & Interdisciplinary,Screened,646,99,95,94,93,68.0,1203.0,Bahasa Mandarin,"Fisika, Matematika Lanjutan",Pencak Silat
Jawa Timur,SMA Negeri 3 Sleman,Jakarta Selatan,Computer Science & Technology,Ed. Opt.,426,78,88,0,82,85.0,1316.0,Bahasa Mandarin,"Fisika, Ekonomi, Bahasa Inggris","Pencak Silat, Renang"
DKI Jakarta,SMA Negeri 2 Bandung,Bandung,Humanities & Interdisciplinary,Screened,576,95,93,97,82,72.0,1119.0,Bahasa Arab,"Bahasa Inggris, Kimia, Biologi",Renang
DKI Jakarta,SMK Teknologi Surabaya,Bandung,Humanities & Interdisciplinary,Screened: Language,427,95,95,0,94,90.0,278.0,Bahasa Jepang,"Matematika Lanjutan, Bahasa Inggris, Kimia",Basket
Jawa Timur,SMK Teknologi Surabaya,Denpasar,Performing Arts,Audition,565,93,93,74,96,17.0,315.0,Bahasa Mandarin,"Fisika, Kimia, Matematika Lanjutan",Futsal
Bali,SMA Plus Nusantara,Jakarta Selatan,Culinary Arts,Ed. Opt.,469,91,87,56,92,90.0,474.0,Bahasa Inggris,"Fisika, Biologi","Pencak Silat, Bulu Tangkis"
Jawa Timur,SMA Plus Nusantara,Surabaya,Computer Science & Technology,Screened,756,74,88,39,79,47.0,561.0,Bahasa Jerman,Kimia,"Pencak Silat, Futsal"
DKI Jakarta,SMA Labschool Bandung,Bandung,Computer Science & Technology,Ed. Opt.,569,61,87,62,83,118.0,1276.0,Bahasa Mandarin,"Bahasa Inggris, Biologi","Renang, Basket"
Jawa Barat,SMK Pariwisata Bali,Sleman,Computer Science & Technology,Ed. Opt.,2256,66,86,45,78,114.0,428.0,Bahasa Jepang,"Biologi, Bahasa Inggris, Fisika",Bulu Tangkis
DKI Jakarta,SMA Plus Nusantara,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,537,86,87,77,91,124.0,2831.0,Bahasa Mandarin,Biologi,"Pencak Silat, Bulu Tangkis"
Yogyakarta,SMA Negeri 2 Bandung,Sleman,Health Professions,Ed. Opt.,313,0,87,0,78,67.0,220.0,Bahasa Inggris,"Ekonomi, Matematika Lanjutan, Fisika","Futsal, Renang"
Bali,SMA Plus Nusantara,Denpasar,Teaching,Ed. Opt.,499,68,87,53,85,66.0,151.0,Bahasa Inggris,Biologi,Bulu Tangkis
Bali,SMA Negeri 3 Sleman,Sleman,Humanities & Interdisciplinary,Screened: Language,478,79,88,59,94,85.0,351.0,Bahasa Jepang,Bahasa Inggris,"Renang, Basket"
Yogyakarta,SMK Teknologi Surabaya,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,553,67,80,36,82,85.0,227.0,Bahasa Arab,"Bahasa Inggris, Ekonomi, Biologi",Futsal
